Date;Region;Polluant;Industrielle;Fond;Trafic
2021-03-01;Mayotte;SO2;0;0;120
2021-04-01;Grand Est;PM10;3944;17519;4298
2021-04-01;Grand Est;NO;2689;20112;6847
2021-04-01;Grand Est;NO2;2689;20131;6847
2021-04-01;Grand Est;O3;0;18296;200
2021-04-01;Grand Est;NOX as NO2;2688;20110;6008
2021-04-01;Grand Est;PM2.5;0;8927;3566
2021-04-01;Grand Est;C6H6;720;0;0
2021-04-01;Grand Est;SO2;2821;2862;0
2021-04-01;Grand Est;CO;0;0;713
2021-04-01;Provence-Alpes-Côte d'Azur;PM10;2865;12749;4312
2021-04-01;Provence-Alpes-Côte d'Azur;NO;0;12604;4307
2021-04-01;Provence-Alpes-Côte d'Azur;NO2;0;12604;4307
2021-04-01;Provence-Alpes-Côte d'Azur;O3;0;19978;0
2021-04-01;Provence-Alpes-Côte d'Azur;NOX as NO2;0;12604;4307
2021-04-01;Provence-Alpes-Côte d'Azur;PM2.5;2225;9860;2152
2021-04-01;Provence-Alpes-Côte d'Azur;C6H6;1983;0;0
2021-04-01;Provence-Alpes-Côte d'Azur;SO2;6694;1293;0
2021-04-01;Provence-Alpes-Côte d'Azur;CO;0;717;0
2021-04-01;Île-de-France;PM10;0;11954;6203
2021-04-01;Île-de-France;NO;0;20522;10324
2021-04-01;Île-de-France;NO2;0;20522;10316
2021-04-01;Île-de-France;O3;0;19346;0
2021-04-01;Île-de-France;NOX as NO2;0;20522;10324
2021-04-01;Île-de-France;PM2.5;0;7830;2153
2021-04-01;Île-de-France;SO2;2121;2055;0
2021-04-01;Île-de-France;CO;0;0;719
2021-04-01;Normandie;PM10;2864;9392;4273
2021-04-01;Normandie;NO;1432;8619;4128
2021-04-01;Normandie;NO2;1432;8619;4285
2021-04-01;Normandie;O3;0;15049;0
2021-04-01;Normandie;NOX as NO2;0;5030;2006
2021-04-01;Normandie;PM2.5;0;3418;2838
2021-04-01;Normandie;C6H6;0;641;0
2021-04-01;Normandie;SO2;5029;6437;0
2021-04-01;Normandie;CO;1377;0;716
2021-04-01;Hauts-de-France;PM10;1979;18571;3234
2021-04-01;Hauts-de-France;NO;1418;16487;2809
2021-04-01;Hauts-de-France;NO2;1418;16487;2809
2021-04-01;Hauts-de-France;O3;0;18487;0
2021-04-01;Hauts-de-France;NOX as NO2;0;4625;718
2021-04-01;Hauts-de-France;PM2.5;0;6925;4235
2021-04-01;Hauts-de-France;C6H6;695;0;629
2021-04-01;Hauts-de-France;SO2;1925;2129;0
2021-04-01;Hauts-de-France;CO;705;716;715
2021-04-01;Auvergne-Rhône-Alpes;PM10;2834;29596;10800
2021-04-01;Auvergne-Rhône-Alpes;NO;717;34402;11543
2021-04-01;Auvergne-Rhône-Alpes;NO2;717;34410;11528
2021-04-01;Auvergne-Rhône-Alpes;O3;0;36146;0
2021-04-01;Auvergne-Rhône-Alpes;NOX as NO2;0;2810;0
2021-04-01;Auvergne-Rhône-Alpes;PM2.5;0;18818;3419
2021-04-01;Auvergne-Rhône-Alpes;C6H6;1363;0;0
2021-04-01;Auvergne-Rhône-Alpes;SO2;2077;2104;0
2021-04-01;Auvergne-Rhône-Alpes;CO;0;0;686
2021-04-01;Occitanie;PM10;3582;9879;2740
2021-04-01;Occitanie;NO;1435;11141;2086
2021-04-01;Occitanie;NO2;1435;11150;3476
2021-04-01;Occitanie;O3;0;15743;0
2021-04-01;Occitanie;NOX as NO2;1435;4072;1430
2021-04-01;Occitanie;PM2.5;718;6435;2025
2021-04-01;Occitanie;SO2;1440;0;0
2021-04-01;Nouvelle-Aquitaine;PM10;2092;16844;7113
2021-04-01;Nouvelle-Aquitaine;NO;2877;16910;7163
2021-04-01;Nouvelle-Aquitaine;NO2;2877;16909;7163
2021-04-01;Nouvelle-Aquitaine;O3;0;19147;0
2021-04-01;Nouvelle-Aquitaine;NOX as NO2;2877;16909;7163
2021-04-01;Nouvelle-Aquitaine;PM2.5;716;8552;2130
2021-04-01;Nouvelle-Aquitaine;SO2;7029;714;0
2021-04-01;Nouvelle-Aquitaine;CO;0;718;0
2021-04-01;Bretagne;PM10;0;4922;2093
2021-04-01;Bretagne;NO;0;5623;2866
2021-04-01;Bretagne;NO2;0;5625;2867
2021-04-01;Bretagne;O3;0;7110;0
2021-04-01;Bretagne;NOX as NO2;0;710;0
2021-04-01;Bretagne;PM2.5;0;4218;717
2021-04-01;Pays de la Loire;PM10;3589;7106;698
2021-04-01;Pays de la Loire;NO;5713;9307;720
2021-04-01;Pays de la Loire;NO2;5713;9307;720
2021-04-01;Pays de la Loire;O3;0;9332;0
2021-04-01;Pays de la Loire;NOX as NO2;0;1430;0
2021-04-01;Pays de la Loire;PM2.5;1420;4300;719
2021-04-01;Pays de la Loire;C6H6;0;0;708
