LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,TIME,Time,Unit Code,Unit,Value,Flag Codes,Flags
ISL,Iceland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,32598.37622,,
IRL,Ireland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,35222.88199,,
ITA,Italy,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,28721.07629,,
JPN,Japan,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,28633.69892,,
KOR,Korea,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,21396.71919,,
LUX,Luxembourg,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,58513.39304,,
MEX,Mexico,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,10999.98034,,
NLD,Netherlands,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,34447.05338,,
NZL,New Zealand,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,23180.06499,,
NOR,Norway,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,37981.68643,,
POL,Poland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,11803.76135,,
PRT,Portugal,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,20356.72156,,
SVK,Slovak Republic,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,13307.87811,,
ESP,Spain,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,24376.32871,,
SWE,Sweden,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,30926.36101,,
CHE,Switzerland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,38519.18517,,
TUR,Turkey,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,9279.072679,,
GBR,United Kingdom,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,29064.33469,,
USA,United States,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,37954.22201,,
BRA,Brazil,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,9623.718037,,
CHL,Chile,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,10279.8534,,
CHN,China (People's Republic of),T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,3523.483224,,
EST,Estonia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,11628.29563,,
IND,India,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,2296.881962,,
IDN,Indonesia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,5838.901328,,
ISR,Israel,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,25150.07112,,
RUS,Russia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,8623.997297,,
SVN,Slovenia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,20236.4323,,
ZAF,South Africa,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,8231.010002,,
BRIICS,"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa",T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,3944.369964,,
