"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","HUR","MEN","PC_LF","M","1997-04",14.6,
"ESP","HUR","MEN","PC_LF","M","1997-05",14.7,
"ESP","HUR","MEN","PC_LF","M","1997-06",14.6,
"ESP","HUR","MEN","PC_LF","M","1997-07",14.2,
"ESP","HUR","MEN","PC_LF","M","1997-08",13.9,
"ESP","HUR","MEN","PC_LF","M","1997-09",13.8,
"ESP","HUR","MEN","PC_LF","M","1997-10",13.6,
"ESP","HUR","MEN","PC_LF","M","1997-11",13.5,
"ESP","HUR","MEN","PC_LF","M","1997-12",13.3,
"ESP","HUR","MEN","PC_LF","M","1998-01",13,
"ESP","HUR","MEN","PC_LF","M","1998-02",12.7,
"ESP","HUR","MEN","PC_LF","M","1998-03",12.5,
"ESP","HUR","MEN","PC_LF","M","1998-04",12.4,
"ESP","HUR","MEN","PC_LF","M","1998-05",12.3,
"ESP","HUR","MEN","PC_LF","M","1998-06",12.2,
"ESP","HUR","MEN","PC_LF","M","1998-07",12,
"ESP","HUR","MEN","PC_LF","M","1998-08",11.9,
"ESP","HUR","MEN","PC_LF","M","1998-09",11.7,
"ESP","HUR","MEN","PC_LF","M","1998-10",11.5,
"ESP","HUR","MEN","PC_LF","M","1998-11",11.3,
"ESP","HUR","MEN","PC_LF","M","1998-12",11.1,
"ESP","HUR","MEN","PC_LF","M","1999-01",10.8,
"ESP","HUR","MEN","PC_LF","M","1999-02",10.4,
"ESP","HUR","MEN","PC_LF","M","1999-03",10.1,
"ESP","HUR","MEN","PC_LF","M","1999-04",9.7,
"ESP","HUR","MEN","PC_LF","M","1999-05",9.5,
"ESP","HUR","MEN","PC_LF","M","1999-06",9.4,
"ESP","HUR","MEN","PC_LF","M","1999-07",9.3,
"ESP","HUR","MEN","PC_LF","M","1999-08",9.4,
"ESP","HUR","MEN","PC_LF","M","1999-09",9.3,
"ESP","HUR","MEN","PC_LF","M","1999-10",9.2,
"ESP","HUR","MEN","PC_LF","M","1999-11",9.2,
"ESP","HUR","MEN","PC_LF","M","1999-12",9.1,
"ESP","HUR","MEN","PC_LF","M","2000-01",9.1,
"ESP","HUR","MEN","PC_LF","M","2000-02",8.7,
"ESP","HUR","MEN","PC_LF","M","2000-03",8.5,
"ESP","HUR","MEN","PC_LF","M","2000-04",8.4,
"ESP","HUR","MEN","PC_LF","M","2000-05",8.3,
"ESP","HUR","MEN","PC_LF","M","2000-06",8.3,
"ESP","HUR","MEN","PC_LF","M","2000-07",8.2,
"ESP","HUR","MEN","PC_LF","M","2000-08",8.2,
"ESP","HUR","MEN","PC_LF","M","2000-09",8.1,
"ESP","HUR","MEN","PC_LF","M","2000-10",8.1,
"ESP","HUR","MEN","PC_LF","M","2000-11",8.1,
"ESP","HUR","MEN","PC_LF","M","2000-12",7.9,
"ESP","HUR","MEN","PC_LF","M","2001-01",7.7,
"ESP","HUR","MEN","PC_LF","M","2001-02",7.7,
"ESP","HUR","MEN","PC_LF","M","2001-03",7.6,
"ESP","HUR","MEN","PC_LF","M","2001-04",7.4,
"ESP","HUR","MEN","PC_LF","M","2001-05",7.6,
"ESP","HUR","MEN","PC_LF","M","2001-06",7.4,
"ESP","HUR","MEN","PC_LF","M","2001-07",7.4,
"ESP","HUR","MEN","PC_LF","M","2001-08",7.5,
"ESP","HUR","MEN","PC_LF","M","2001-09",7.5,
"ESP","HUR","MEN","PC_LF","M","2001-10",7.5,
"ESP","HUR","MEN","PC_LF","M","2001-11",7.6,
"ESP","HUR","MEN","PC_LF","M","2001-12",7.7,
"ESP","HUR","MEN","PC_LF","M","2002-01",7.9,
"ESP","HUR","MEN","PC_LF","M","2002-02",8.4,
"ESP","HUR","MEN","PC_LF","M","2002-03",8,
"ESP","HUR","MEN","PC_LF","M","2002-04",7.9,
"ESP","HUR","MEN","PC_LF","M","2002-05",7.9,
"ESP","HUR","MEN","PC_LF","M","2002-06",8.1,
"ESP","HUR","MEN","PC_LF","M","2002-07",8.4,
"ESP","HUR","MEN","PC_LF","M","2002-08",8.6,
"ESP","HUR","MEN","PC_LF","M","2002-09",8.6,
"ESP","HUR","MEN","PC_LF","M","2002-10",8.6,
"ESP","HUR","MEN","PC_LF","M","2002-11",8.6,
"ESP","HUR","MEN","PC_LF","M","2002-12",8.7,
"ESP","HUR","MEN","PC_LF","M","2003-01",8.6,
"ESP","HUR","MEN","PC_LF","M","2003-02",8.5,
"ESP","HUR","MEN","PC_LF","M","2003-03",8.4,
"ESP","HUR","MEN","PC_LF","M","2003-04",8.4,
"ESP","HUR","MEN","PC_LF","M","2003-05",8.3,
"ESP","HUR","MEN","PC_LF","M","2003-06",8.5,
"ESP","HUR","MEN","PC_LF","M","2003-07",8.6,
"ESP","HUR","MEN","PC_LF","M","2003-08",8.6,
"ESP","HUR","MEN","PC_LF","M","2003-09",8.6,
"ESP","HUR","MEN","PC_LF","M","2003-10",8.5,
"ESP","HUR","MEN","PC_LF","M","2003-11",8.5,
"ESP","HUR","MEN","PC_LF","M","2003-12",8.7,
"ESP","HUR","MEN","PC_LF","M","2004-01",8.6,
"ESP","HUR","MEN","PC_LF","M","2004-02",8.4,
"ESP","HUR","MEN","PC_LF","M","2004-03",8.3,
"ESP","HUR","MEN","PC_LF","M","2004-04",8.4,
"ESP","HUR","MEN","PC_LF","M","2004-05",8.4,
"ESP","HUR","MEN","PC_LF","M","2004-06",8.4,
"ESP","HUR","MEN","PC_LF","M","2004-07",8.4,
"ESP","HUR","MEN","PC_LF","M","2004-08",8.5,
"ESP","HUR","MEN","PC_LF","M","2004-09",8.3,
"ESP","HUR","MEN","PC_LF","M","2004-10",8,
"ESP","HUR","MEN","PC_LF","M","2004-11",7.8,
"ESP","HUR","MEN","PC_LF","M","2004-12",7.7,
"ESP","HUR","MEN","PC_LF","M","2005-01",7.6,
"ESP","HUR","MEN","PC_LF","M","2005-02",7.5,
"ESP","HUR","MEN","PC_LF","M","2005-03",7.6,
"ESP","HUR","MEN","PC_LF","M","2005-04",7.7,
"ESP","HUR","MEN","PC_LF","M","2005-05",7.5,
"ESP","HUR","MEN","PC_LF","M","2005-06",7.2,
"ESP","HUR","MEN","PC_LF","M","2005-07",6.9,
"ESP","HUR","MEN","PC_LF","M","2005-08",6.7,
"ESP","HUR","MEN","PC_LF","M","2005-09",6.6,
"ESP","HUR","MEN","PC_LF","M","2005-10",6.7,
"ESP","HUR","MEN","PC_LF","M","2005-11",6.7,
"ESP","HUR","MEN","PC_LF","M","2005-12",6.8,
"ESP","HUR","MEN","PC_LF","M","2006-01",6.7,
"ESP","HUR","MEN","PC_LF","M","2006-02",6.6,
"ESP","HUR","MEN","PC_LF","M","2006-03",6.6,
"ESP","HUR","MEN","PC_LF","M","2006-04",6.5,
"ESP","HUR","MEN","PC_LF","M","2006-05",6.4,
"ESP","HUR","MEN","PC_LF","M","2006-06",6.3,
"ESP","HUR","MEN","PC_LF","M","2006-07",6.3,
"ESP","HUR","MEN","PC_LF","M","2006-08",6.3,
"ESP","HUR","MEN","PC_LF","M","2006-09",6.2,
"ESP","HUR","MEN","PC_LF","M","2006-10",6.1,
"ESP","HUR","MEN","PC_LF","M","2006-11",6.1,
"ESP","HUR","MEN","PC_LF","M","2006-12",6.2,
"ESP","HUR","MEN","PC_LF","M","2007-01",6.1,
"ESP","HUR","MEN","PC_LF","M","2007-02",6.1,
"ESP","HUR","MEN","PC_LF","M","2007-03",6.1,
"ESP","HUR","MEN","PC_LF","M","2007-04",6.1,
"ESP","HUR","MEN","PC_LF","M","2007-05",6.2,
"ESP","HUR","MEN","PC_LF","M","2007-06",6.3,
"ESP","HUR","MEN","PC_LF","M","2007-07",6.3,
"ESP","HUR","MEN","PC_LF","M","2007-08",6.5,
"ESP","HUR","MEN","PC_LF","M","2007-09",6.6,
"ESP","HUR","MEN","PC_LF","M","2007-10",6.7,
"ESP","HUR","MEN","PC_LF","M","2007-11",6.9,
"ESP","HUR","MEN","PC_LF","M","2007-12",7.2,
"ESP","HUR","MEN","PC_LF","M","2008-01",7.4,
"ESP","HUR","MEN","PC_LF","M","2008-02",7.6,
"ESP","HUR","MEN","PC_LF","M","2008-03",7.8,
"ESP","HUR","MEN","PC_LF","M","2008-04",8.5,
"ESP","HUR","MEN","PC_LF","M","2008-05",9.1,
"ESP","HUR","MEN","PC_LF","M","2008-06",9.7,
"ESP","HUR","MEN","PC_LF","M","2008-07",10.1,
"ESP","HUR","MEN","PC_LF","M","2008-08",10.6,
"ESP","HUR","MEN","PC_LF","M","2008-09",11.2,
"ESP","HUR","MEN","PC_LF","M","2008-10",12,
