,GoldDiff
1682,11926
1683,11386
1684,6077
1685,10458
1686,6124
1687,15632
1688,4183
1689,13898
1690,11087
1691,9308
1692,9773
1693,7791
1694,9230
1695,6354
1696,4030
1697,17585
1698,12712
1699,5083
1700,3995
1701,11876
1702,8108
1703,10281
1704,6237
1705,14363
1706,9974
1707,6798
1708,9120
1709,1678
1710,7388
1711,4300
1712,11247
1713,10792
1714,11113
1715,10020
1716,9639
1717,8253
1718,6697
1719,5145
1720,9207
1721,12624
1722,11753
1723,12524
1724,11457
1725,7812
1726,11418
1727,2112
1728,7337
1729,16545
1730,12470
1731,7582
1732,10923
1733,11124
1734,10279
1735,6239
1736,16509
1737,9448
1738,10337
1739,5621
1740,12029
1741,8944
1742,5802
1743,7603
1744,11643
1745,11699
1746,4431
1747,10927
1748,10016
1749,9390
1750,9461
1751,8412
1752,10728
1753,7790
1754,8687
1755,10743
1756,7231
1757,5841
1758,11158
1759,5648
1760,14258
1761,3848
1762,7681
1763,8275
1764,17293
1765,11723
1766,5429
1767,10661
1768,5207
1769,5238
1770,12551
1771,8216
1772,8725
1773,13199
1774,8590
1775,2324
1776,10368
1777,14058
1778,178
1779,11217
1780,6329
1781,10508
1782,8084
1783,16436
1784,15705
1785,7124
1786,11878
1787,20064
1788,13889
1789,11503
1790,15151
1791,12104
1792,13577
1793,6780
1794,15688
1795,12299
1796,13008
1797,7395
1798,7183
1799,7574
1800,8360
1801,10052
1802,11187
1803,10122
1804,8190
1805,4903
1806,14982
1807,7493
1808,8313
1809,11548
1810,12285
1811,14966
1812,6766
1813,7842
1814,4595
1815,7733
1816,12181
1817,13619
1818,9765
1819,9537
1820,6543
1821,614
1822,5669
1823,12242
1824,13093
1825,8643
1826,6327
1827,16545
1828,10018
1829,3308
1830,14526
1831,13975
1832,5409
1833,10384
1834,12818
1835,6110
1836,10069
1837,8836
1838,8591
1839,6806
1840,9607
1841,11070
1842,8087
1843,10733
1844,5847
1845,10946
1846,8755
1847,15311
1848,9734
1849,7239
1850,10986
1851,11389
1852,11927
1853,6969
1854,6117
1855,7367
1856,13279
1857,10568
1858,8070
1859,817
1860,12574
1861,9767
1862,12539
1863,3094
1864,3638
1865,7943
1866,13366
1867,8644
1868,4535
1869,10388
1870,15386
1871,5667
1872,8216
1873,12737
1874,14441
1875,8048
1876,833
1877,13862
1878,11212
1879,9383
1880,10577
1881,7514
1882,8744
1883,6310
1884,10913
1885,11305
1886,14536
1887,12185
1888,12939
1889,15638
1890,13485
1891,11487
1892,11053
1893,12146
1894,6579
1895,9327
1896,5606
1897,6948
1898,14047
1899,2177
1900,14581
1901,7295
1902,9076
1903,8514
1904,11001
1905,3185
1906,19000
1907,10197
1908,6946
1909,11330
1910,964
1911,9221
1912,8170
1913,12812
1914,13524
1915,9509
1916,7054
1917,8895
1918,5668
1919,11789
1920,5323
1921,10352
1922,9512
1923,16563
1924,7939
1925,8054
1926,7107
1927,7363
1928,2055
1929,15595
1930,9490
1931,4791
1932,11100
1933,8529
1934,8993
1935,9825
1936,7674
1937,13053
1938,10951
1939,9933
1940,14724
1941,9305
1942,15626
1943,11916
1944,9594
1945,14991
1946,5410
1947,7438
1948,4982
1949,7949
1950,8148
1951,7597
1952,6702
1953,11298
1954,9620
1955,2828
1956,7322
1957,7297
1958,10904
1959,1301
1960,13994
1961,9742
1962,17209
1963,12294
1964,5907
1965,14164
1966,6037
1967,4959
1968,14818
1969,7278
1970,9081
1971,13287
1972,13484
1973,7884
1974,7896
1975,9481
1976,5848
1977,10118
1978,5340
1979,11153
1980,12480
1981,1910
1982,4014
1983,8277
1984,13693
1985,7052
1986,3825
1987,10522
1988,1588
1989,7600
1990,10064
1991,10757
1992,14270
1993,8333
1994,11598
1995,3266
1996,3090
1997,10773
1998,10193
1999,6880
2000,8030
2001,7732
2002,17317
2003,5493
2004,17334
2005,10464
2006,13391
2007,13112
2008,5500
2009,12393
2010,11701
2011,3906
2012,1839
2013,5789
2014,7655
2015,17127
2016,6341
2017,5534
2018,12315
2019,15071
2020,7283
2021,1939
2022,11463
2023,9669
2024,3064
2025,7584
2026,2365
2027,8029
2028,10112
2029,3049
2030,12338
2031,8374
2032,5436
2033,8093
2034,12651
2035,11319
2036,7977
2037,3606
2038,11428
2039,11599
2040,11259
2041,10802
2042,7181
2043,10767
2044,7839
2045,8308
2046,13903
2047,10249
2048,3489
2049,8111
2050,12912
2051,7773
2052,8962
2053,12783
2054,12601
2055,10987
2056,6256
2057,10175
2058,5095
2059,6308
2060,9976
2061,15930
2062,9148
2063,7025
2064,10327
2065,19278
2066,9535
2067,8541
2068,7497
2069,5435
2070,10275
2071,10902
2072,5523
2073,7800
2074,13516
2075,6379
2076,4459
2077,7870
2078,4918
2079,11872
2080,11933
2081,12767
2082,9622
2083,8037
2084,9916
2085,16560
2086,10506
2087,6864
2088,8287
2089,12838
2090,7467
2091,8680
2092,9135
2093,9264
2094,12831
2095,11349
2096,9251
2097,7696
2098,10733
2099,9189
2100,7464
2101,8011
2102,12238
2103,9388
2104,6009
2105,6845
2106,14605
2107,13762
2108,11984
2109,9910
2110,9322
2111,12145
2112,6753
2113,6032
2114,12040
2115,9605
2116,11294
2117,7789
2118,2685
2119,15426
2120,9676
2121,17930
