"TIME","GEO","AIRPOL","Value"
"2018","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","18.8"
"2018","Estonie","Particules < 10µm","13.3"
"2018","Irlande","Particules < 10µm","13.3"
"2018","Grèce","Particules < 10µm","27.1"
"2018","Espagne","Particules < 10µm","19.8"
"2018","France","Particules < 10µm","18.3"
"2018","Croatie","Particules < 10µm","33.8"
"2018","Italie","Particules < 10µm","26.1"
"2018","Chypre","Particules < 10µm","29.9"
"2018","Lettonie","Particules < 10µm","23.3"
"2018","Lituanie","Particules < 10µm","20"
"2018","Luxembourg","Particules < 10µm","21.1"
"2018","Hongrie","Particules < 10µm","27.6"
"2018","Malte","Particules < 10µm",":"
"2018","Pays-Bas","Particules < 10µm","20.2"
"2018","Autriche","Particules < 10µm","21.8"
"2018","Pologne","Particules < 10µm","33.2"
"2018","Portugal","Particules < 10µm","18.8"
"2018","Roumanie","Particules < 10µm","26.4"
"2018","Slovénie","Particules < 10µm","24.1"
"2018","Slovaquie","Particules < 10µm","24.8"
"2018","Finlande","Particules < 10µm","11.5"
"2018","Suède","Particules < 10µm","13.1"
"2018","Islande","Particules < 10µm","11.3"
"2018","Norvège","Particules < 10µm","13.5"
"2018","Suisse","Particules < 10µm","15.4"
"2019","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","20.5"
"2019","Union européenne - 28 pays (2013-2020)","Particules < 10µm",":"
"2019","Belgique","Particules < 10µm","18.9"
"2019","Bulgarie","Particules < 10µm","30.4"
"2019","Tchéquie","Particules < 10µm","20.3"
"2019","Danemark","Particules < 10µm","16.5"
"2019","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","16.1"
"2019","Estonie","Particules < 10µm","10.8"
"2019","Irlande","Particules < 10µm","12.7"
"2019","Grèce","Particules < 10µm","27.5"
"2019","Espagne","Particules < 10µm","19.4"
"2019","France","Particules < 10µm","17.4"
"2019","Croatie","Particules < 10µm","30.9"
"2019","Italie","Particules < 10µm","25.5"
"2019","Chypre","Particules < 10µm","26"
"2019","Lettonie","Particules < 10µm","20.2"
"2019","Lituanie","Particules < 10µm","21.9"
"2019","Luxembourg","Particules < 10µm","20.3"
"2019","Hongrie","Particules < 10µm","24.4"
"2019","Malte","Particules < 10µm",":"
"2019","Pays-Bas","Particules < 10µm","19.1"
"2019","Autriche","Particules < 10µm","17.4"
"2019","Pologne","Particules < 10µm","27"
"2019","Portugal","Particules < 10µm","18.6"
"2019","Roumanie","Particules < 10µm","25.6"
"2019","Slovénie","Particules < 10µm","20.4"
"2019","Slovaquie","Particules < 10µm","21"
"2019","Finlande","Particules < 10µm","10.2"
"2019","Suède","Particules < 10µm","12.3"
"2019","Islande","Particules < 10µm","10.6"
"2019","Norvège","Particules < 10µm","11.8"
"2019","Suisse","Particules < 10µm","13.6"
