"COUNTRY","Pays","SERIES","Séries","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2013","2013","EUR","Euro","0","Unités","2020","2020",41480.1648620911,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2014","2014","EUR","Euro","0","Unités","2020","2020",41481.0927711696,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2015","2015","EUR","Euro","0","Unités","2020","2020",41811.1222494947,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2016","2016","EUR","Euro","0","Unités","2020","2020",42175.7961140538,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2017","2017","EUR","Euro","0","Unités","2020","2020",41944.8785329246,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2018","2018","EUR","Euro","0","Unités","2020","2020",42344.6200994125,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2019","2019","EUR","Euro","0","Unités","2020","2020",42786.5928223451,,
"FIN","Finlande","CNPNCU","en prix constants 2020 et en monnaie nationale ","2020","2020","EUR","Euro","0","Unités","2020","2020",42769.009492092,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2000","2000","EUR","Euro","0","Unités","2020","2020",32398.3078836578,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2001","2001","EUR","Euro","0","Unités","2020","2020",32603.2224095523,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2002","2002","EUR","Euro","0","Unités","2020","2020",33483.3650013865,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2003","2003","EUR","Euro","0","Unités","2020","2020",33754.476480236,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2004","2004","EUR","Euro","0","Unités","2020","2020",34307.9790073737,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2005","2005","EUR","Euro","0","Unités","2020","2020",34720.5709099213,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2006","2006","EUR","Euro","0","Unités","2020","2020",35109.6570966967,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2007","2007","EUR","Euro","0","Unités","2020","2020",35240.6918370663,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2008","2008","EUR","Euro","0","Unités","2020","2020",35171.9639740894,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2009","2009","EUR","Euro","0","Unités","2020","2020",36290.8407121489,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2010","2010","EUR","Euro","0","Unités","2020","2020",37028.7539253468,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2011","2011","EUR","Euro","0","Unités","2020","2020",36970.884639937,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2012","2012","EUR","Euro","0","Unités","2020","2020",37218.8212336165,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2013","2013","EUR","Euro","0","Unités","2020","2020",37531.4455870805,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2014","2014","EUR","Euro","0","Unités","2020","2020",37790.4822846142,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2015","2015","EUR","Euro","0","Unités","2020","2020",38160.4824155776,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2016","2016","EUR","Euro","0","Unités","2020","2020",38607.0668331984,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2017","2017","EUR","Euro","0","Unités","2020","2020",39140.1277139412,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2018","2018","EUR","Euro","0","Unités","2020","2020",39151.9627551769,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2019","2019","EUR","Euro","0","Unités","2020","2020",39357.3601159409,,
"FRA","France","CNPNCU","en prix constants 2020 et en monnaie nationale ","2020","2020","EUR","Euro","0","Unités","2020","2020",38077.8014997926,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2000","2000","EUR","Euro","0","Unités","2020","2020",36125.2838110705,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2001","2001","EUR","Euro","0","Unités","2020","2020",36399.5043066642,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2002","2002","EUR","Euro","0","Unités","2020","2020",36619.1854788088,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2003","2003","EUR","Euro","0","Unités","2020","2020",36741.5921194121,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2004","2004","EUR","Euro","0","Unités","2020","2020",36743.1149974545,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2005","2005","EUR","Euro","0","Unités","2020","2020",36893.5981940163,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2006","2006","EUR","Euro","0","Unités","2020","2020",36888.2569199667,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2007","2007","EUR","Euro","0","Unités","2020","2020",36784.3982337201,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2008","2008","EUR","Euro","0","Unités","2020","2020",36956.6238426733,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2009","2009","EUR","Euro","0","Unités","2020","2020",36967.1123308713,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2010","2010","EUR","Euro","0","Unités","2020","2020",37290.5628379196,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2011","2011","EUR","Euro","0","Unités","2020","2020",38060.4605194826,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2012","2012","EUR","Euro","0","Unités","2020","2020",38581.1147135805,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2013","2013","EUR","Euro","0","Unités","2020","2020",38958.4721242783,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2014","2014","EUR","Euro","0","Unités","2020","2020",39626.0153435724,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2015","2015","EUR","Euro","0","Unités","2020","2020",40553.6430104742,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2016","2016","EUR","Euro","0","Unités","2020","2020",41132.3996057745,,
