Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;40;12;;;OUI;OUI;2022-03-10T17:57:22+01:00;;;
;;OUI;;24;3;;;OUI;OUI;2022-03-10T17:58:45+01:00;;;
;;OUI;;46;4;;;OUI;OUI;2022-03-10T17:56:23+01:00;;;
;;OUI;;26;2;;;OUI;OUI;2022-03-10T17:58:44+01:00;;;
;;OUI;;39;4;;;OUI;OUI;2022-03-10T17:55:10+01:00;;;
;;OUI;;29;3;;;OUI;OUI;2022-03-10T17:56:26+01:00;;;
;;OUI;;53;5;;;OUI;OUI;2022-03-10T17:56:23+01:00;;;
;;OUI;;14;11;;;OUI;OUI;2022-03-10T17:55:21+01:00;;;
;;OUI;;21;4;;;OUI;OUI;2022-03-10T17:56:00+01:00;;;
;;OUI;;8;7;;;OUI;OUI;2022-03-10T17:51:33+01:00;;;
;;OUI;;24;5;;;OUI;OUI;2022-03-10T17:58:17+01:00;;;
;;OUI;;15;4;;;OUI;OUI;2022-03-10T17:55:57+01:00;;;
;;OUI;;19;3;;;OUI;OUI;2022-03-10T17:57:17+01:00;;;
;;OUI;;4;21;;;OUI;OUI;2022-03-10T17:58:32+01:00;;;
;;OUI;;49;1;;;OUI;OUI;2022-03-10T17:58:31+01:00;;;
;;OUI;;9;23;;;OUI;OUI;2022-03-10T17:58:00+01:00;;;
;;OUI;;16;9;;;OUI;OUI;2022-03-10T17:53:58+01:00;;;
;;OUI;;23;1;;;OUI;OUI;2022-03-10T17:55:59+01:00;;;
;;OUI;;11;7;;;OUI;OUI;2022-03-10T17:55:49+01:00;;;
;;OUI;;29;36;;;OUI;OUI;2022-03-10T17:58:32+01:00;;;
;;OUI;;33;6;;;OUI;OUI;2022-03-10T17:58:47+01:00;;;
;;OUI;;12;7;;;OUI;OUI;2022-03-10T17:58:37+01:00;;;
;;OUI;;6;12;;;OUI;OUI;2022-03-10T17:58:31+01:00;;;
;;OUI;;23;1;;;OUI;OUI;2022-03-10T17:58:46+01:00;;;
