id;station;working;capacity;avail. station;avail. bike;mech. bike;elec. bike;atm;bike return;data actualization;geo;commune;arrond
16110;Octave Feuillet - Albéric Magnard;True;21;18;3;1;2;True;True;2022-03-10T15:58:05+01:00;48.86106902949534,2.2730283066630363;Paris;75116
18134;Ney - Porte de Clignancourt;True;25;24;1;1;0;True;True;2022-03-10T15:56:25+01:00;48.8978867,2.3458001;Paris;75118
9014;Faubourg Montmartre - La Fayette;True;35;0;34;17;17;True;True;2022-03-10T15:57:26+01:00;48.87525454905335,2.340853661298752;Paris;75109
17032;Jean Oestreicher - Porte de Champerret;True;21;12;9;4;5;True;True;2022-03-10T15:56:33+01:00;48.88655580065981,2.288640439510346;Paris;75117
8016;Square Louis XVI;True;29;2;27;20;7;True;True;2022-03-10T15:57:38+01:00;48.87320440102894,2.323658830743138;Paris;75108
10162;Alexandre Parodi - Quai de Valmy;True;24;22;0;0;0;True;True;2022-03-10T15:53:47+01:00;48.87935941942529,2.366596162319184;Paris;75110
10115;Granges aux Belles;True;27;22;4;2;2;True;True;2022-03-10T15:58:27+01:00;48.8761373390584,2.3680844979417;Paris;75110
10029;Dunkerque - Rocroy;True;24;20;2;1;1;True;True;2022-03-10T15:54:59+01:00;48.880726,2.351464;Paris;75110
13118;Regnault - Patay;True;63;21;41;40;1;True;True;2022-03-10T15:56:16+01:00;48.82435782216384,2.377065159380436;Paris;75113
7018;Ségur - d'Estrées;True;19;6;13;6;7;True;True;2022-03-10T15:57:30+01:00;48.85141997898257,2.3097044974565506;Paris;75107
9002;Abbeville - Faubourg Poissonnière;True;14;11;2;1;1;True;True;2022-03-10T15:57:32+01:00;48.879223,2.349147;Paris;75110
5022;Boulangers - Cardinal Lemoine;True;20;4;14;8;6;True;True;2022-03-10T15:57:59+01:00;48.8462904,2.3521495;Paris;75105
9106;Boudreau - Auber;True;14;5;9;8;1;True;True;2022-03-10T15:57:02+01:00;48.87219,2.329423;Paris;75109
9038;Douai - Bruxelles;True;27;25;1;0;1;True;True;2022-03-10T15:58:29+01:00;48.88320784122797,2.3308449949028507;Paris;75118
19105;Ambroise Rendu - Porte Brunet;True;17;14;3;0;3;True;True;2022-03-10T15:54:21+01:00;48.883667,2.395733;Paris;75119
31103;Gare Rosny-Bois-Perrier;True;36;11;24;5;19;True;True;2022-03-10T15:57:12+01:00;48.88115023337061,2.480436824262142;Rosny-sous-Bois;93064
6001;Institut de France;True;17;0;16;8;8;True;True;2022-03-10T15:56:13+01:00;48.85761567856468,2.335831353037739;Paris;75106
17008;Porte Pouchet-Bessières;True;23;18;5;4;1;True;True;2022-03-10T15:57:44+01:00;48.8978765,2.3230632;Paris;75117
15112;Vigée-Lebrun - Anselme Payen;True;24;24;0;0;0;True;True;2022-03-10T15:54:48+01:00;48.838683941628375,2.3110422492027287;Paris;75115
7025;Octave Gréard - Tour Eiffel;True;33;1;32;25;7;True;True;2022-03-10T15:57:31+01:00;48.856502977695634,2.293178754328878;Paris;75107
22409;Henri Barbusse - Stalingrad;True;16;11;5;2;3;True;True;2022-03-10T15:57:14+01:00;48.814183748660554,2.2872862592339516;Malakoff;92046
5020;Institut du Monde Arabe - Saint-Germain;True;40;2;33;27;6;True;True;2022-03-10T15:58:22+01:00;48.84906329950134,2.3558086529374123;Paris;75105
19015;Thionville - Ourcq;True;24;23;1;0;1;True;True;2022-03-10T15:57:54+01:00;48.88917613743794,2.3833653330802917;Paris;75119
31024_relais;Romainville - Vaillant-couturier;True;0;0;0;0;0;True;True;2022-03-10T15:48:44+01:00;48.868054,2.4470495;Montreuil;93048
9022;Rossini - Laffitte;True;33;0;32;20;12;True;True;2022-03-10T15:57:50+01:00;48.87334627510507,2.337980867701675;Paris;75109
9028;Moncey - Blanche;True;17;14;3;0;3;True;True;2022-03-10T15:57:23+01:00;48.88006587474148,2.3310810327529907;Paris;75109
20042;Pyrénées - Emmery;True;40;38;1;0;1;True;True;2022-03-10T15:56:32+01:00;48.872010281270974,2.392039597034455;Paris;75120
11027;Saint-Ambroise - Parmentier;True;38;35;3;1;2;True;True;2022-03-10T15:57:39+01:00;48.86214784454763,2.3772348091006275;Paris;75111
17043;Belidor - Gouvion-Saint-Cyr;True;39;29;10;3;7;True;True;2022-03-10T15:55:40+01:00;48.88022154052015,2.2854680567979813;Paris;75117
19026;Place de Rhin et Danube;True;17;17;0;0;0;True;True;2022-03-10T15:54:43+01:00;48.88192765861766,2.392586767673493;Paris;75119
11002;Roquette - Thiéré;True;23;9;14;9;5;True;True;2022-03-10T15:56:17+01:00;48.85507930579506,2.3733686318721463;Paris;75111
31009;Place Du Général De Gaulle;True;26;23;2;0;2;True;True;2022-03-10T15:56:19+01:00;48.8687591,2.4329931;Montreuil;93048
11047;Amelot - Saint-Sébastien;True;30;7;19;13;6;True;True;2022-03-10T15:56:47+01:00;48.86114216276092,2.367799618107727;Paris;75111
8034;Berri - Haussmann;True;35;1;34;19;15;True;True;2022-03-10T15:56:17+01:00;48.874746047357135,2.3082953318953514;Paris;75108
14020;Cimetière de Montrouge;True;58;52;5;2;3;True;True;2022-03-10T15:54:03+01:00;48.822009,2.322188699;Paris;75114
31022;Mairie de Montreuil;True;52;33;15;1;14;True;True;2022-03-10T15:58:13+01:00;48.86131452758348,2.440614402294159;Montreuil;93048
46002;Rouget de Lisle;True;35;22;13;11;2;True;True;2022-03-10T15:58:16+01:00;48.764615483395254,2.4071189761161804;Choisy-le-Roi;94022
18003;Cimetière de Montmartre;True;43;43;0;0;0;True;True;2022-03-10T15:52:28+01:00;48.886472466141925,2.3328901827335358;Paris;75118
10016;Récollets - Square Villemin;True;17;14;3;2;1;True;True;2022-03-10T15:58:24+01:00;48.875034655883944,2.359801238597928;Paris;75110
42706;Roger Salengro - Fontainebleau;True;25;23;2;0;2;True;True;2022-03-10T15:56:42+01:00;48.814548697324845,2.36116636544466;Le Kremlin-Bicêtre;94043
15042;Henry Farman;True;16;2;14;13;1;True;True;2022-03-10T15:54:00+01:00;48.83372430280548,2.2713854536414146;Paris;75115
33102;Gabriel Péri - Francisco Ferrer;True;18;16;2;1;1;True;True;2022-03-10T15:52:04+01:00;48.88633710236977,2.407338917255402;Le Pré-Saint-Gervais;93061
18011;Pajol - Place Herbert;True;39;32;7;3;4;True;True;2022-03-10T15:55:20+01:00;48.8927825,2.3635598;Paris;75118
15104;Hôpital Européen Georges Pompidou;True;64;19;44;37;7;True;True;2022-03-10T15:56:35+01:00;48.83769531916335,2.275374233722687;Paris;75115
44006;Concorde - Stalingrad;True;35;29;6;1;5;True;True;2022-03-10T15:57:38+01:00;48.7985844,2.3821302;Vitry-sur-Seine;94081
19120;Carducci - Place Hannah Arendt;True;27;26;0;0;0;True;True;2022-03-10T15:55:29+01:00;48.877436681515796,2.3860743641853337;Paris;75119
10024;Buisson Saint-Louis - Saint-Maur;True;19;13;5;0;5;True;True;2022-03-10T15:55:52+01:00;48.87174684930295,2.3722528328789854;Paris;75110
18031;Place Albert Kahn;True;46;45;1;0;1;True;True;2022-03-10T15:58:18+01:00;48.8957969797804,2.345585584134864;Paris;75118
15054;Lecourbe - Jean Maridor;True;19;14;5;3;2;True;True;2022-03-10T15:53:13+01:00;48.83796366147599,2.2877392172813416;Paris;75115
15106;Grenelle - Violet;True;35;4;31;26;5;True;True;2022-03-10T15:58:21+01:00;48.84993035512154,2.294612042605877;Paris;75115
14008;Mouton Duvernet - Général Leclerc;True;39;32;5;1;4;True;True;2022-03-10T15:58:19+01:00;48.831632518292565,2.3293121159076686;Paris;75114
14106;Marc Sangnier - Porte de Vanves;True;21;20;1;1;0;True;True;2022-03-10T15:51:31+01:00;48.825218683556734,2.3107116669416428;Paris;75114
18046;Etienne Jodelle - Saint Ouen;True;33;29;3;1;2;True;True;2022-03-10T15:57:22+01:00;48.88794016394694,2.326124420314341;Paris;75117
31102;Boissière - Etienne Dolet;True;21;20;1;0;1;True;True;2022-03-10T15:53:51+01:00;48.876111,2.4677312;Montreuil;93064
2111;Chabanais - Petits Champs;True;30;1;28;10;18;True;True;2022-03-10T15:57:25+01:00;48.86703740186721,2.336716018617153;Paris;75101
44013;Edouard Tremblay - Julian Grimau;True;30;30;0;0;0;True;True;2022-03-10T15:56:10+01:00;48.78138382511671,2.3723508417606354;Vitry-sur-Seine;94081
21005;Hôtel de Ville de Boulogne Billancourt;True;26;18;7;5;2;True;True;2022-03-10T15:58:28+01:00;48.83495885166784,2.2416803240776066;Boulogne-Billancourt;92012
15110;Place Robert Guillemard;True;24;5;18;18;0;True;True;2022-03-10T15:58:25+01:00;48.836191728066666,2.2811267160086417;Paris;75115
20131;Repos - Cimetière du Père Lachaise;True;33;29;3;2;1;True;True;2022-03-10T15:58:26+01:00;48.859358523592554,2.389613136684456;Paris;75111
44003;Gabriel Péri - Danielle Casanova;True;20;17;2;0;2;True;True;2022-03-10T15:55:52+01:00;48.790114,2.4025777;Vitry-sur-Seine;94081
15034;Lakanal - Commerce;True;53;49;2;1;1;True;True;2022-03-10T15:58:05+01:00;48.84442462786544,2.294059172272682;Paris;75115
41202;Gare Rer de Fontenay sous Bois;True;61;56;5;2;3;True;True;2022-03-10T15:57:24+01:00;48.8436279,2.4630465;Fontenay-sous-Bois;94033
42021;Raspail - Manufacture des Oeillets;True;32;27;5;4;1;True;True;2022-03-10T15:57:19+01:00;48.8094458,2.3903009;Ivry-sur-Seine;94041
35020;Marcelle - Thalie;True;20;19;0;0;0;True;True;2022-03-10T15:52:12+01:00;48.8835462,2.4137883;Pantin;93045
20115;Louis Lumière - Porte de Bagnolet;True;20;20;0;0;0;True;True;2022-03-10T15:57:32+01:00;48.86431136000005,2.4105210229754443;Paris;75120
22402;Jean Jaurès - Salvador Allende;True;43;39;2;1;1;True;True;2022-03-10T15:55:42+01:00;48.821475594736775,2.3026576638221745;Malakoff;92046
21008;Victor Hugo - Galliéni;True;34;21;13;13;0;True;True;2022-03-10T15:58:16+01:00;48.83802015441127,2.2460845112800603;Boulogne-Billancourt;92012
1119;Cossonnerie - Sébastopol;True;24;6;19;10;9;True;True;2022-03-10T15:56:44+01:00;48.86132665908402,2.349419631063938;Paris;75101
17013;Legendre - Dulong;True;23;21;2;0;2;True;True;2022-03-10T15:56:51+01:00;48.885325169402904,2.316423766314984;Paris;75117
17031;Place de la Porte de Champerret;True;28;19;8;7;1;True;True;2022-03-10T15:56:44+01:00;48.88561741628322,2.290781411279206;Paris;75117
11026;Chemin Vert - Saint-Maur;True;45;35;7;3;4;True;True;2022-03-10T15:57:36+01:00;48.86112461407359,2.381299026310444;Paris;75111
13050;Quai Panhard et Levassor;True;57;4;50;37;13;True;True;2022-03-10T15:52:20+01:00;48.82837482809675,2.384273745805574;Paris;75113
11030;Oberkampf - République;True;24;18;6;0;6;True;True;2022-03-10T15:56:57+01:00;48.865316087070475,2.3761147849099955;Paris;75111
19024;Botzaris - Parc des Buttes Chaumont;True;20;19;1;0;1;True;True;2022-03-10T15:57:47+01:00;48.877951,2.381464;Paris;75119
8057;Hoche - Tilsitt;True;33;32;0;0;0;True;True;2022-03-10T15:52:15+01:00;48.87483645783703,2.297132313251496;Paris;75108
15021;Joseph Liouville - Croix Nivert;True;64;43;21;20;1;True;True;2022-03-10T15:57:36+01:00;48.844835471244416,2.297508493065834;Paris;75115
17105;Place Madeleine Daniélou;True;42;38;4;0;4;True;True;2022-03-10T15:55:27+01:00;48.883498,2.282015;Paris;92051
15103;Cauchy - Cévennes;True;51;5;44;41;3;True;True;2022-03-10T15:55:05+01:00;48.8433725710224,2.275132834911347;Paris;75115
18009;Jean-François Lépine - Stephenson;True;22;21;1;0;1;True;True;2022-03-10T15:56:49+01:00;48.88611466796807,2.356855627529275;Paris;75118
22003;Beffroy;True;26;7;18;15;3;True;True;2022-03-10T15:57:54+01:00;48.886591074487995,2.261394560337067;Neuilly-sur-Seine;92051
16038;Molitor - Chardon-Lagache;True;34;23;11;8;3;True;True;2022-03-10T15:53:42+01:00;48.84520880183234,2.2656840831041336;Paris;75116
16108;Sablons - Georges Mandel;True;38;36;2;1;1;True;True;2022-03-10T15:55:55+01:00;48.863875,2.28189;Paris;75116
19022;Marché Secrétan;True;26;23;3;2;1;True;True;2022-03-10T15:58:28+01:00;48.88125496379482,2.373463287949562;Paris;75119
11024;Mairie du 11ème;True;51;40;11;4;7;True;True;2022-03-10T15:57:43+01:00;48.858925,2.3789759;Paris;75111
24001;Arche - Léonard de Vinci;True;28;22;5;5;0;True;True;2022-03-10T15:55:25+01:00;48.89790972494496,2.2383723043644914;Courbevoie;92026
22016;Charles de Gaulle - Sablonville;True;26;16;9;5;4;True;True;2022-03-10T15:58:07+01:00;48.87991924860035,2.2763770446181297;Neuilly-sur-Seine;92051
14136;Auguste Cain - Jean Moulin;True;40;40;0;0;0;True;True;2022-03-10T15:52:52+01:00;48.82577028927573,2.3210415244102482;Paris;75114
8025;Miromesnil - La Boétie;True;35;3;31;25;6;True;True;2022-03-10T15:58:05+01:00;48.87372241291653,2.315848097205162;Paris;75108
32302;Chemin Vert - Fraternité;True;20;19;1;0;1;True;True;2022-03-10T15:53:54+01:00;48.877141208359035,2.4461565166711807;Romainville;93063
9032;Mathurins - Auber;True;36;11;25;21;4;True;True;2022-03-10T15:58:05+01:00;48.872988840743595,2.3294984212276404;Paris;75109
