,year,region,total,men,women
170,2008.0,Occitanie,5419946.0,2619187.0,2800759.0
171,2008.0,Pays de la Loire,3510170.0,1710307.0,1799863.0
172,2008.0,Provence-Alpes-Côted'Azur,4882913.0,2331735.0,2551178.0
173,2008.0,France métropolitaine,62134866.0,30084747.0,32050119.0
174,2008.0,Guadeloupe,401784.0,188389.0,213395.0
175,2008.0,Martinique,397693.0,184437.0,213256.0
176,2008.0,Guyane,219266.0,108673.0,110593.0
177,2008.0,La Réunion,808250.0,392041.0,416209.0
178,2008.0,DOM,1826993.0,873540.0,953453.0
179,2008.0,France métropolitaine et DOM,63961859.0,30958287.0,33003572.0
180,2009.0,Auvergne-Rhône-Alpes,7518004.0,3658116.0,3859888.0
181,2009.0,Bourgogne-Franche-Comté,2810648.0,1369837.0,1440811.0
182,2009.0,Bretagne,3175064.0,1541358.0,1633706.0
183,2009.0,Centre-Val-de-Loire,2538590.0,1233806.0,1304784.0
184,2009.0,Corse,305674.0,149514.0,156160.0
185,2009.0,Grand Est,5531118.0,2697718.0,2833400.0
186,2009.0,Hauts-de-France,5944354.0,2880018.0,3064336.0
187,2009.0,Île-de-France,11728240.0,5661771.0,6066469.0
188,2009.0,Normandie,3303822.0,1597185.0,1706637.0
189,2009.0,Nouvelle-Aquitaine,5708497.0,2751618.0,2956879.0
190,2009.0,Occitanie,5473597.0,2646299.0,2827298.0
191,2009.0,Pays de la Loire,3539048.0,1724639.0,1814409.0
192,2009.0,Provence-Alpes-Côted'Azur,4889053.0,2335555.0,2553498.0
193,2009.0,France métropolitaine,62465709.0,30247434.0,32218275.0
194,2009.0,Guadeloupe,401554.0,187867.0,213687.0
195,2009.0,Martinique,396404.0,183655.0,212749.0
196,2009.0,Guyane,224469.0,111201.0,113268.0
197,2009.0,La Réunion,816364.0,395688.0,420676.0
198,2009.0,DOM,1838791.0,878411.0,960380.0
199,2009.0,France métropolitaine et DOM,64304500.0,31125845.0,33178655.0
200,2010.0,Auvergne-Rhône-Alpes,7578078.0,3688963.0,3889115.0
201,2010.0,Bourgogne-Franche-Comté,2813878.0,1371655.0,1442223.0
202,2010.0,Bretagne,3199066.0,1553248.0,1645818.0
203,2010.0,Centre-Val-de-Loire,2548065.0,1238673.0,1309392.0
204,2010.0,Corse,309693.0,151633.0,158060.0
205,2010.0,Grand Est,5532530.0,2698974.0,2833556.0
206,2010.0,Hauts-de-France,5953001.0,2884386.0,3068615.0
207,2010.0,Île-de-France,11786234.0,5691234.0,6095000.0
208,2010.0,Normandie,3310448.0,1601032.0,1709416.0
209,2010.0,Nouvelle-Aquitaine,5745486.0,2769626.0,2975860.0
210,2010.0,Occitanie,5518106.0,2668025.0,2850081.0
211,2010.0,Pays de la Loire,3571495.0,1739864.0,1831631.0
