DATAFLOW,LAST UPDATE,freq,tax,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2010,4.02,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2011,4.02,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2012,3.97,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2013,4.14,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2014,4,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2015,3.97,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2016,3.91,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2017,3.67,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2018,3.62,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2019,3.29,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,DK,2020,3.17,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,1995,2.56,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,1996,2.61,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,1997,2.58,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,1998,2.56,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,1999,2.62,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2000,2.51,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2001,2.48,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2002,2.49,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2003,2.53,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2004,2.49,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2005,2.46,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2006,2.4,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2007,2.28,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2008,2.22,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2009,2.29,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2010,2.29,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2011,2.36,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2012,2.41,
